a,啊阿呵吖锕嗄腌
ai,爱矮挨哎碍癌艾唉哀蔼隘埃皑呆捱嗳嫒瑷暧砹锿霭嗌
an,按安暗岸俺案鞍氨胺厂广谙埯揞犴庵桉铵鹌黯
ang,昂肮盎
ao,袄凹傲奥熬懊敖翱澳嚣坳嗷岙廒遨媪骜獒聱螯鏊鳌鏖拗
b,不把被百比边白本并变半帮八包蹦表别宾拨办棒抱北奔绷笔便标憋病波步吧摆班绑报倍苯甭闭鳖濒兵播补爸败般磅
ba,把八吧爸拔罢跋巴芭扒坝霸叭靶笆疤耙捌茇菝岜灞钯粑鲅魃
bai,百白摆败柏拜佰伯稗捭掰呗
ban,半办班般拌搬版斑板伴扳扮瓣颁绊阪坂钣瘢癍舨
bang,帮棒绑磅镑邦榜蚌傍梆膀谤蒡浜
bao,包抱报饱保暴薄宝爆剥豹刨雹褒堡苞胞鲍炮瀑葆孢煲鸨褓趵龅
bei,被北倍杯背悲备碑卑贝辈钡焙狈惫臂孛邶蓓悖碚鹎褙鐾鞴陂呗
ben,本奔苯笨夯畚坌锛贲
beng,蹦绷甭崩迸蚌泵嘣甏
bi,比笔闭鼻碧必避逼毕臂彼鄙壁蓖币弊辟蔽毙庇敝陛毖痹秘泌匕俾芘荜荸萆薜哔狴庳愎滗濞弼妣婢嬖璧畀铋秕筚箅篦舭襞跸髀吡贲裨
bian,边变便遍编辩扁贬鞭卞辨辫匾弁苄忭汴煸砭碥窆褊蝙笾鳊缏
biao,表标彪膘婊杓飑飙飚镖镳瘭裱鳔骠
bie,别憋鳖瘪蹩
bin,宾濒摈彬斌滨傧豳缤殡膑镔髌鬓玢槟
bing,并病兵冰丙饼屏秉柄炳禀邴摒槟
bo,拨波播泊博伯驳玻剥薄勃菠钵搏脖帛般柏舶渤铂箔膊魄卜亳啵饽檗擘礴钹鹁簸跛踣蕃
bu,不步补布部捕卜簿哺堡埠怖埔卟逋瓿晡钚钸醭
c,才出吃次成车长从擦查册处穿此村曾藏草侧层插柴产朝趁冲抽揣船窗吹春戳凑粗窜催错菜蚕仓操拆拆缠唱抄撤称乘
ca,擦拆礤嚓
cai,才菜采材财裁猜踩睬蔡彩
can,蚕残掺参惨惭餐灿骖璨粲黪孱
cang,藏仓沧舱苍伧
cao,草操曹槽糙嘈漕螬艚
ce,册侧策测厕恻
cen,参岑涔
ceng,曾层蹭噌
ch,出吃成车长查处穿插柴产朝趁冲抽揣船窗吹春戳拆缠唱抄撤称乘尺愁床垂唇重叉差掺常超扯辰迟虫臭初传闯炊纯绰
cha,查插叉茶差岔搽察茬碴诧馇汊姹杈槎檫锸镲衩刹嚓楂
chai,柴拆差豺侪钗虿瘥
chan,产缠掺搀阐颤铲谗蝉馋冁谄蒇廛忏潺澶羼婵骣觇蟾躔单孱禅镡
chang,长唱常场厂尝肠畅昌敞倡猖偿伥鬯苌菖徜怅惝阊娼嫦昶氅鲳裳
chao,朝抄超吵潮巢炒嘲剿钞怊晁耖绰焯
che,车撤扯掣彻尺澈坼砗
chen,趁称辰臣尘晨沉陈衬橙郴忱谌谶抻嗔宸琛榇碜龀伧
cheng,成乘盛撑称城程呈诚秤惩承逞骋丞埕枨柽塍瞠铖裎蛏酲橙澄噌晟铛
chi,吃尺迟池翅痴赤齿耻持斥弛驰侈炽傺墀茌叱哧啻嗤彳饬媸敕眵鸱瘛褫蚩螭笞篪豉踟魑匙坻
chong,冲重虫充宠崇茺忡憧铳舂艟涌种
chou,抽愁臭仇丑稠绸酬筹踌畴瞅俦惆瘳雠帱
chu,出处初锄除触橱楚础储畜厨躇雏滁矗搐亍刍怵憷绌杵楮樗蜍蹰黜
chuai,揣搋膪踹啜嘬
chuan,穿船传串川喘椽舛遄巛氚钏舡
chuang,窗床闯创疮幢怆
chui,吹垂炊锤捶椎陲棰槌
chun,春唇纯蠢醇淳椿莼鹑蝽
chuo,戳绰辍踔龊啜
ci,次此词瓷慈雌磁辞刺茨疵赐呲祠鹚糍差伺兹
cong,从丛葱匆聪囱苁淙骢琮璁枞
cou,凑楱辏腠
cu,粗醋簇促卒蔟徂猝殂蹙酢蹴
cuan,窜蹿篡攒汆撺爨镩
cui,催脆摧翠崔淬衰瘁粹萃啐悴璀榱毳
cun,村寸存蹲忖皴
cuo,错撮搓挫措磋厝嵯脞锉矬痤鹾蹉瘥
d,的到地大地都对但当多带等点掉党爹顶丢动读段吨答代单道灯得第电钓跌定东斗度短队顿朵达呆蛋挡倒邓底店叼叠
da,大答达打搭瘩塔耷哒怛妲褡笪靼鞑嗒沓疸
dai,带代呆戴待袋逮歹贷怠傣大殆埭甙岱迨绐玳黛呔骀
dan,但单蛋担弹掸胆淡丹耽旦氮诞郸惮石儋萏啖殚赕眈瘅聃箪澹疸
dang,当党挡档荡谠凼菪宕砀裆铛
dao,到道倒刀岛盗稻捣悼导蹈祷忉氘纛叨帱焘
de,的地得德底锝
dei,得
deng,等灯邓登澄瞪凳蹬噔嶝戥磴镫簦
di,地第底低敌抵滴帝递嫡弟缔堤的涤提笛迪狄翟蒂氐籴诋谛邸荻嘀娣柢棣觌砥碲睇镝羝骶坻
dia,嗲
dian,点电店殿淀掂颠垫碘惦奠典佃靛滇甸坫巅玷癜癫簟踮阽钿
diao,掉钓叼吊雕调刁碉凋鸟铞貂鲷铫
die,爹跌叠碟蝶迭谍垤堞揲牒瓞耋蹀鲽喋
ding,顶定盯订叮丁钉鼎锭仃啶玎腚碇疔耵酊町铤
diu,丢铥
dong,动东懂洞冻冬董栋侗恫咚岽氡胨胴硐鸫垌峒
dou,都斗豆逗陡抖痘兜读蔸窦蚪篼
du,读度毒渡堵独肚镀赌睹杜督都犊妒顿芏嘟渎椟牍蠹笃髑黩
duan,段短断端锻缎椴煅簖
dui,对队堆兑敦怼憝碓镦
dun,吨顿蹲墩敦钝盾囤遁炖砘礅盹趸沌镦
duo,多朵夺舵剁垛跺惰堕掇哆驮度躲咄哚沲缍铎裰踱
e,饿哦额鹅蛾扼俄讹阿遏峨娥恶厄鄂噩谔垩苊莪萼呃愕屙婀轭腭锇锷鹗颚鳄阏
ei,诶
en,恩蒽摁
er,而二耳儿饵尔贰洱迩珥铒鸸鲕佴
f,发放非飞分反饭否副法翻房份风幅防封肥芬逢扶罚番纺费粉缝浮伐犯芳肺坟蜂富乏凡方废奋丰福帆访匪愤枫负筏返
fa,发法罚伐乏筏阀珐垡砝
fan,反饭翻番犯凡帆返泛繁烦贩范樊藩矾钒蘩幡梵燔畈蹯蕃
fang,放房防纺芳方访仿坊妨肪邡枋钫舫鲂彷
fei,非飞肥费肺废匪吠沸菲诽啡狒悱淝妃绯榧腓斐扉镄痱蜚篚翡霏鲱芾
fen,分份芬粉坟奋愤纷忿粪酚焚吩氛汾偾瀵棼鲼鼢玢
feng,风封逢缝蜂丰枫疯冯奉讽凤峰锋烽俸酆葑唪沣砜
fo,佛
fou,否缶
fu,副幅扶浮富福负伏付复服附俯斧赴缚拂夫父符孵敷赋辅府腐腹妇抚覆辐肤氟佛俘傅讣弗涪袱甫釜脯腑阜咐匐凫郛芙苻茯菔拊呋幞怫滏艴孚驸绂绋桴赙祓砩黻黼罘稃馥蚨蜉蝠蝮麸趺跗鲋鳆芾莩
g,个过给国该刚高各更光跟工赶够古挂怪关归滚改干钢搞根耕公沟股刮拐管广贵棍盖感纲告歌功狗鼓瓜乖官逛鬼果颈
ga,噶胳夹嘎咖轧尬尕尜旮钆伽呷
gai,该改盖概钙芥溉丐陔垓戤赅
gan,赶干感敢竿甘肝柑杆赣秆坩苷尴擀泔淦澉绀橄旰矸疳酐
gang,刚钢纲港缸岗杠冈肛扛罡筻戆
gao,高搞告稿膏篙羔糕镐皋睾诰郜藁缟槔槁杲锆
ge,个各歌割哥搁格阁隔革咯胳葛蛤戈鸽疙盖屹合铬哿圪塥嗝搿膈镉袼虼舸骼纥硌颌鬲仡
gei,给
gen,跟根亘茛哏艮
geng,更耕颈梗耿庚羹埂哽赓绠鲠
gong,工公功共弓攻宫供恭拱贡躬巩汞龚红珙肱蚣觥
gou,够沟狗钩勾购构苟垢句佝诟岣遘媾缑觏彀笱篝鞲枸
gu,古股鼓谷故孤箍姑顾固雇估咕骨辜沽蛊贾菇诂菰崮汩梏轱牯牿臌毂瞽罟钴锢鸪痼蛄酤觚鲴呱鹄鹘嘏
gua,挂刮瓜寡剐褂卦诖胍鸹呱栝
guai,怪拐乖掴
guan,关管官观馆惯罐灌冠贯棺纶倌掼涫盥鹳鳏莞矜
guang,光广逛咣犷桄胱
gui,归贵鬼跪轨规硅桂柜龟诡闺瑰圭刽傀癸炔匦刿庋宄妫桧炅晷皈簋鲑鳜
gun,滚棍辊衮绲磙鲧
guo,过国果裹锅郭涡馘埚呙帼崞猓椁虢聒蜾蝈掴
h,和还好很红后话或换行坏回会混海横喊号喝黄黑狠恒轰厚湖户花嘿怀还慌昏活害含哈汗合恨哼哄吼呼化淮唤晃灰荤
ha,哈蛤虾铪
hai,还海害咳氦孩骇咳骸亥嗨胲醢
han,喊含汗寒汉旱酣韩焊涵函憨翰罕撼捍憾悍邯邗菡撖瀚晗焓顸颔蚶鼾阚
hang,行巷航夯杭吭沆绗颃
hao,好号浩嚎壕郝毫豪耗貉镐蒿薅嗥嚆濠灏昊皓颢蚝
he,和喝合河禾核何呵荷贺赫褐盒鹤菏貉阂涸吓诃劾壑嗬阖曷盍翮纥颌
hei,黑嘿
hen,很狠恨痕
heng,横恒哼衡亨行蘅桁珩
hong,红轰哄虹洪宏烘鸿弘黉訇讧荭蕻薨闳泓
hou,后厚吼喉侯候猴堠後逅瘊篌糇鲎骺
hu,湖户呼虎壶互胡护糊弧忽狐蝴葫沪乎戏核和瑚唬冱唿囫岵猢怙惚滹琥槲轷觳烀煳戽扈祜瓠鹕鹱笏醐斛浒鹄鹘
